GrantId,PersonID,Role,YearofBirth,CountryofBirth,HomeLanguage,DeptNo,FacultyNo,WithPHD,NoofYearsinUniatTimeofGrant,NumberofSuccessfulGrant,NumberofUnsuccessfulGrant,A*,A,B,C
8123,143992.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2163.0,19.0,Yes ,>=0 to 5,5.0,4.0,0.0,0.0,0.0,0.0
8123,80137.0,DELEGATED_RESEARCHER,1950.0,Australia,,2163.0,19.0,Yes ,more than 15,1.0,0.0,7.0,14.0,2.0,3.0
8123,1757.0,CHIEF_INVESTIGATOR,1950.0,Asia Pacific,,2923.0,25.0,,Less than 0,3.0,11.0,1.0,3.0,11.0,10.0
8124.0,106282.0,CHIEF_INVESTIGATOR,1965.0,Asia Pacific,English,2628.0,25.0,Yes ,>=0 to 5,1.0,5.0,9.0,4.0,5.0,2.0
8124,77162.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2603.0,25.0,Yes ,>5 to 10,1.0,3.0,0.0,0.0,0.0,0.0
8124,68467.0,CHIEF_INVESTIGATOR,1950.0,Great Britain,,2628.0,25.0,,>10 to 15,4.0,1.0,42.0,12.0,8.0,4.0
8125.0,289377.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2603.0,25.0,Yes ,>=0 to 5,3.0,3.0,8.0,2.0,1.0,0.0
8126.0,2477.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2668.0,25.0,Yes ,>10 to 15,0.0,1.0,6.0,2.0,1.0,5.0
8126,78762.0,PRINCIPAL_SUPERVISOR,1960.0,Australia,,2668.0,25.0,Yes ,>5 to 10,4.0,8.0,0.0,0.0,0.0,0.0
8127.0,87147.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2548.0,25.0,Yes ,>5 to 10,1.0,2.0,5.0,4.0,7.0,1.0
8128.0,132927.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2523.0,25.0,Yes ,>=0 to 5,2.0,3.0,6.0,12.0,2.0,1.0
8128,78562.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2628.0,25.0,Yes ,more than 15,5.0,1.0,0.0,0.0,0.0,0.0
8128,66192.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2523.0,25.0,Yes ,more than 15,0.0,0.0,2.0,27.0,12.0,8.0
8129.0,696492.0,CHIEF_INVESTIGATOR,1975.0,,,2653.0,25.0,,>=0 to 5,1.0,0.0,0.0,1.0,0.0,0.0
8130.0,78992.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2763.0,25.0,Yes ,more than 15,3.0,10.0,9.0,22.0,7.0,9.0
8131.0,110437.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2653.0,25.0,Yes ,>=0 to 5,0.0,2.0,1.0,1.0,0.0,0.0
8131,120047.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2713.0,25.0,,>=0 to 5,1.0,1.0,0.0,0.0,0.0,0.0
8132.0,971367.0,CHIEF_INVESTIGATOR,1970.0,,,2763.0,25.0,,>=0 to 5,1.0,1.0,6.0,4.0,1.0,1.0
8132,4102.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2948.0,25.0,Yes ,more than 15,1.0,8.0,0.0,0.0,0.0,0.0
8133.0,74302.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2603.0,25.0,Yes ,>10 to 15,4.0,2.0,3.0,1.0,6.0,1.0
8133,74492.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2653.0,25.0,Yes ,more than 15,5.0,6.0,0.0,0.0,0.0,0.0
8133,359677.0,CHIEF_INVESTIGATOR,1975.0,Australia,,3258.0,31.0,,,0.0,6.0,1.0,0.0,1.0,0.0
8134.0,2577.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2558.0,25.0,,more than 15,0.0,3.0,1.0,3.0,5.0,9.0
8135.0,74162.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2813.0,25.0,Yes ,>5 to 10,5.0,10.0,19.0,34.0,9.0,10.0
8135,575052.0,CHIEF_INVESTIGATOR,1965.0,,,3943.0,31.0,Yes ,>=0 to 5,0.0,6.0,0.0,0.0,0.0,0.0
8135,893852.0,CHIEF_INVESTIGATOR,1970.0,Asia Pacific,,2813.0,25.0,Yes ,,1.0,5.0,1.0,3.0,1.0,4.0
8136.0,734322.0,CHIEF_INVESTIGATOR,1965.0,,,2603.0,25.0,,>=0 to 5,2.0,9.0,0.0,0.0,0.0,0.0
8136,887717.0,CHIEF_INVESTIGATOR,1960.0,,,2653.0,25.0,,>=0 to 5,2.0,3.0,0.0,0.0,0.0,0.0
8137.0,72532.0,CHIEF_INVESTIGATOR,1955.0,Great Britain,English,3268.0,31.0,Yes ,more than 15,0.0,2.0,5.0,28.0,7.0,3.0
8137,22002.0,CHIEF_INVESTIGATOR,1975.0,Australia,,3268.0,31.0,Yes ,>5 to 10,1.0,0.0,2.0,8.0,0.0,0.0
8137,64867.0,PRINCIPAL_SUPERVISOR,1945.0,Australia,,3268.0,31.0,Yes ,more than 15,6.0,5.0,7.0,39.0,11.0,6.0
8138.0,106282.0,CHIEF_INVESTIGATOR,1965.0,Asia Pacific,English,2628.0,25.0,Yes ,>=0 to 5,1.0,5.0,9.0,4.0,5.0,2.0
8139.0,918577.0,CHIEF_INVESTIGATOR,1960.0,,,3198.0,31.0,,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
8140.0,101532.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2538.0,25.0,,>=0 to 5,3.0,9.0,2.0,8.0,7.0,1.0
8141.0,40947.0,CHIEF_INVESTIGATOR,1965.0,Australia,English,2653.0,25.0,Yes ,>5 to 10,1.0,7.0,8.0,3.0,1.0,1.0
8142.0,133557.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2603.0,25.0,,>=0 to 5,2.0,3.0,11.0,7.0,7.0,0.0
8143.0,68382.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2893.0,25.0,,>5 to 10,0.0,1.0,0.0,4.0,5.0,1.0
8143,112582.0,CHIEF_INVESTIGATOR,1945.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
8143,79612.0,CHIEF_INVESTIGATOR,1950.0,,,,,,,0.0,0.0,1.0,24.0,43.0,26.0
8144.0,143357.0,CHIEF_INVESTIGATOR,1965.0,Asia Pacific,,2728.0,25.0,Yes ,>=0 to 5,2.0,3.0,0.0,1.0,18.0,1.0
8144,90947.0,DELEGATED_RESEARCHER,1965.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
8144,85862.0,CHIEF_INVESTIGATOR,1950.0,Western Europe,,2728.0,25.0,,>5 to 10,9.0,18.0,0.0,5.0,21.0,7.0
8145.0,68817.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2713.0,25.0,Yes ,>10 to 15,1.0,8.0,3.0,12.0,11.0,1.0
8146.0,498427.0,CHIEF_INVESTIGATOR,1970.0,Great Britain,,2668.0,25.0,Yes ,>=0 to 5,3.0,12.0,3.0,9.0,8.0,0.0
8147.0,63772.0,CHIEF_INVESTIGATOR,1960.0,Australia,,828.0,7.0,Yes ,>10 to 15,2.0,2.0,11.0,3.0,1.0,12.0
8148.0,71867.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2578.0,25.0,Yes ,more than 15,9.0,5.0,11.0,29.0,46.0,24.0
8149.0,868722.0,CHIEF_INVESTIGATOR,1965.0,Australia,,,,Yes ,,2.0,4.0,4.0,10.0,9.0,1.0
8149,906612.0,CHIEF_INVESTIGATOR,1975.0,Asia Pacific,,2603.0,25.0,Yes ,>=0 to 5,2.0,3.0,0.0,0.0,0.0,0.0
8150.0,869497.0,CHIEF_INVESTIGATOR,1975.0,Asia Pacific,,2628.0,25.0,Yes ,>=0 to 5,3.0,0.0,3.0,1.0,0.0,0.0
8151.0,497802.0,CHIEF_INVESTIGATOR,1955.0,,,2538.0,25.0,,>=0 to 5,1.0,1.0,2.0,4.0,0.0,0.0
8152.0,46682.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2578.0,25.0,Yes ,>5 to 10,1.0,4.0,2.0,4.0,4.0,2.0
8152,255532.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2578.0,25.0,Yes ,>=0 to 5,2.0,0.0,0.0,0.0,0.0,0.0
8153.0,18177.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2653.0,25.0,,more than 15,0.0,1.0,3.0,24.0,4.0,9.0
8153,918577.0,CHIEF_INVESTIGATOR,1960.0,,,3198.0,31.0,,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
8154.0,69812.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2813.0,25.0,,>5 to 10,5.0,11.0,16.0,17.0,23.0,4.0
8154,119372.0,CHIEF_INVESTIGATOR,1970.0,Eastern Europe,Other,2813.0,25.0,Yes ,>=0 to 5,1.0,5.0,0.0,0.0,0.0,0.0
8155.0,76757.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2153.0,19.0,Yes ,>=0 to 5,1.0,0.0,3.0,2.0,0.0,0.0
8155,9067.0,PRINCIPAL_SUPERVISOR,1960.0,Australia,,2538.0,25.0,Yes ,more than 15,5.0,8.0,0.0,0.0,0.0,0.0
8155,67477.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2763.0,25.0,,more than 15,0.0,0.0,0.0,5.0,4.0,3.0
8156.0,39812.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2603.0,25.0,Yes ,>5 to 10,5.0,3.0,10.0,23.0,4.0,4.0
8157.0,284367.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2653.0,25.0,,>=0 to 5,0.0,2.0,0.0,0.0,0.0,0.0
8158.0,67842.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2653.0,25.0,Yes ,>5 to 10,4.0,16.0,14.0,49.0,19.0,5.0
8158,140442.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2763.0,25.0,Yes ,>=0 to 5,0.0,2.0,0.0,0.0,0.0,0.0
8158,79192.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2523.0,25.0,Yes ,more than 15,8.0,15.0,60.0,95.0,38.0,10.0
8159.0,298802.0,CHIEF_INVESTIGATOR,1960.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
8159,3692.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2828.0,25.0,,Less than 0,6.0,3.0,0.0,0.0,0.0,0.0
8160.0,867827.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2813.0,25.0,Yes ,>=0 to 5,1.0,2.0,6.0,5.0,4.0,1.0
8160,872667.0,CHIEF_INVESTIGATOR,1965.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
8160,78977.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2813.0,25.0,,Less than 0,1.0,1.0,9.0,23.0,42.0,13.0
8161.0,105342.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2678.0,25.0,Yes ,>=0 to 5,6.0,7.0,4.0,6.0,9.0,3.0
8161,636257.0,CHIEF_INVESTIGATOR,1980.0,,,2678.0,25.0,,Less than 0,3.0,7.0,0.0,0.0,0.0,0.0
8162.0,604692.0,CHIEF_INVESTIGATOR,1975.0,,,2178.0,19.0,,,1.0,0.0,0.0,0.0,1.0,2.0
8162,25217.0,CHIEF_INVESTIGATOR,1965.0,Great Britain,,2563.0,25.0,Yes ,>5 to 10,3.0,5.0,0.0,0.0,0.0,0.0
8162,29562.0,CHIEF_INVESTIGATOR,1970.0,Australia,English,2563.0,25.0,Yes ,>=0 to 5,0.0,1.0,4.0,9.0,7.0,2.0
8162,493697.0,CHIEF_INVESTIGATOR,1960.0,Asia Pacific,,2178.0,19.0,Yes ,>=0 to 5,4.0,2.0,18.0,24.0,4.0,4.0
8163.0,11342.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2558.0,25.0,Yes ,>=0 to 5,0.0,7.0,1.0,1.0,3.0,6.0
8163,13522.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2533.0,25.0,,>10 to 15,0.0,1.0,0.0,0.0,0.0,0.0
8163,89127.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2533.0,25.0,Yes ,>5 to 10,0.0,1.0,0.0,8.0,10.0,10.0
8163,65957.0,CHIEF_INVESTIGATOR,1950.0,New Zealand,,2558.0,25.0,Yes ,more than 15,0.0,1.0,3.0,20.0,23.0,9.0
8164.0,615312.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2533.0,25.0,Yes ,>=0 to 5,0.0,2.0,0.0,2.0,3.0,1.0
8164,301472.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2533.0,25.0,Yes ,>=0 to 5,8.0,6.0,0.0,0.0,0.0,0.0
8165.0,39812.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2603.0,25.0,Yes ,>5 to 10,5.0,3.0,10.0,23.0,4.0,4.0
8167.0,659757.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2668.0,25.0,Yes ,>=0 to 5,2.0,6.0,11.0,3.0,1.0,0.0
8168.0,735967.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,,2713.0,25.0,Yes ,>=0 to 5,5.0,3.0,1.0,0.0,0.0,0.0
8168,79032.0,DELEGATED_RESEARCHER,1955.0,Australia,,2713.0,25.0,Yes ,more than 15,1.0,10.0,0.0,0.0,0.0,0.0
8169.0,104707.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2538.0,25.0,Yes ,>=0 to 5,3.0,1.0,0.0,0.0,1.0,0.0
8170.0,500367.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,,1258.0,34.0,Yes ,>=0 to 5,1.0,3.0,1.0,4.0,1.0,1.0
8170,66717.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1258.0,34.0,Yes ,>10 to 15,0.0,5.0,0.0,0.0,0.0,0.0
8170,66077.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1258.0,34.0,Yes ,more than 15,0.0,1.0,3.0,42.0,14.0,2.0
8171.0,918577.0,CHIEF_INVESTIGATOR,1960.0,,,3198.0,31.0,,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
8172.0,78607.0,CHIEF_INVESTIGATOR,1945.0,Eastern Europe,,2628.0,25.0,Yes ,more than 15,1.0,3.0,0.0,5.0,0.0,2.0
8172,7362.0,CHIEF_INVESTIGATOR,1970.0,Western Europe,,2628.0,25.0,Yes ,>10 to 15,4.0,4.0,0.0,0.0,0.0,0.0
8173.0,655457.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2628.0,25.0,Yes ,>=0 to 5,2.0,6.0,2.0,5.0,4.0,0.0
8174.0,78782.0,PRINCIPAL_SUPERVISOR,1955.0,Australia,,2678.0,25.0,Yes ,>10 to 15,6.0,9.0,2.0,5.0,16.0,4.0
8174,82567.0,DELEGATED_RESEARCHER,1955.0,Australia,English,2678.0,25.0,Yes ,more than 15,2.0,5.0,0.0,0.0,0.0,0.0
8175.0,78377.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2563.0,25.0,,more than 15,0.0,1.0,3.0,5.0,7.0,2.0
8177.0,117462.0,CHIEF_INVESTIGATOR,1965.0,Great Britain,,1258.0,34.0,Yes ,>=0 to 5,1.0,10.0,2.0,7.0,4.0,2.0
8178.0,865067.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2813.0,25.0,Yes ,>=0 to 5,2.0,5.0,1.0,7.0,2.0,0.0
8179.0,498427.0,CHIEF_INVESTIGATOR,1970.0,Great Britain,,2668.0,25.0,Yes ,>=0 to 5,3.0,12.0,3.0,9.0,8.0,0.0
8180.0,624752.0,CHIEF_INVESTIGATOR,1970.0,,,,,,,1.0,3.0,2.0,2.0,1.0,2.0
8180,105337.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2828.0,25.0,,>=0 to 5,3.0,5.0,0.0,0.0,0.0,0.0
8181.0,78782.0,PRINCIPAL_SUPERVISOR,1955.0,Australia,,2678.0,25.0,Yes ,>10 to 15,6.0,9.0,2.0,5.0,16.0,4.0
8181,55337.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2678.0,25.0,Yes ,>5 to 10,1.0,0.0,0.0,0.0,0.0,0.0
8182.0,74832.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2768.0,25.0,,>5 to 10,0.0,6.0,0.0,2.0,5.0,3.0
8182,7482.0,CHIEF_INVESTIGATOR,1940.0,Australia,,2768.0,25.0,,>10 to 15,0.0,2.0,0.0,0.0,0.0,0.0
8183.0,730092.0,CHIEF_INVESTIGATOR,1975.0,,,2653.0,25.0,,>=0 to 5,4.0,0.0,1.0,0.0,0.0,0.0
8184.0,865067.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2813.0,25.0,Yes ,>=0 to 5,2.0,5.0,1.0,7.0,2.0,0.0
8185.0,7512.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2538.0,25.0,Yes ,Less than 0,0.0,5.0,1.0,5.0,2.0,1.0
8186.0,366782.0,CHIEF_INVESTIGATOR,1975.0,Australia,,3123.0,31.0,Yes ,>=0 to 5,2.0,1.0,2.0,3.0,1.0,0.0
8187.0,77067.0,CHIEF_INVESTIGATOR,1970.0,Australia,English,2668.0,25.0,Yes ,>5 to 10,2.0,4.0,8.0,5.0,7.0,0.0
8187,31967.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2668.0,25.0,Yes ,>5 to 10,3.0,6.0,0.0,0.0,0.0,0.0
8188.0,15472.0,CHIEF_INVESTIGATOR,1965.0,,,,,,,0.0,0.0,5.0,10.0,25.0,8.0
8188,10662.0,CHIEF_INVESTIGATOR,1955.0,Australia,English,1258.0,34.0,Yes ,>10 to 15,2.0,4.0,0.0,0.0,0.0,0.0
8189.0,67962.0,CHIEF_INVESTIGATOR,1955.0,,,,,,,0.0,0.0,0.0,0.0,6.0,1.0
8190.0,28732.0,CHIEF_INVESTIGATOR,1965.0,,,3943.0,31.0,,>5 to 10,0.0,0.0,4.0,1.0,1.0,0.0
8190,7342.0,CHIEF_INVESTIGATOR,1965.0,Great Britain,,2553.0,25.0,Yes ,>10 to 15,0.0,6.0,0.0,0.0,0.0,0.0
8190,98757.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2628.0,25.0,Yes ,>=0 to 5,2.0,0.0,16.0,6.0,0.0,0.0
8191.0,712437.0,CHIEF_INVESTIGATOR,1965.0,Asia Pacific,,2103.0,19.0,Yes ,>=0 to 5,1.0,4.0,0.0,0.0,0.0,0.0
8191,73017.0,CHIEF_INVESTIGATOR,1960.0,The Americas,,2103.0,19.0,Yes ,more than 15,2.0,8.0,0.0,0.0,0.0,0.0
8192.0,47517.0,CHIEF_INVESTIGATOR,1970.0,Australia,English,2533.0,25.0,,,1.0,1.0,3.0,17.0,9.0,9.0
8192,110472.0,CHIEF_INVESTIGATOR,1965.0,Australia,English,2973.0,25.0,,>=0 to 5,0.0,3.0,0.0,0.0,0.0,0.0
8192,36252.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2973.0,25.0,Yes ,>5 to 10,3.0,24.0,4.0,38.0,15.0,42.0
8193.0,491312.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2563.0,25.0,Yes ,>=0 to 5,1.0,10.0,0.0,1.0,0.0,0.0
8193,67037.0,CHIEF_INVESTIGATOR,1950.0,Eastern Europe,,2563.0,25.0,Yes ,more than 15,7.0,19.0,0.0,0.0,0.0,0.0
8194.0,51502.0,CHIEF_INVESTIGATOR,1975.0,Middle East and Africa,,2713.0,25.0,Yes ,>=0 to 5,1.0,1.0,4.0,7.0,0.0,1.0
8194,734762.0,CHIEF_INVESTIGATOR,1975.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
8194,79022.0,CHIEF_INVESTIGATOR,1945.0,Western Europe,,2713.0,25.0,,more than 15,4.0,11.0,36.0,48.0,10.0,4.0
8195.0,22767.0,CHIEF_INVESTIGATOR,1975.0,Australia,English,2523.0,25.0,Yes ,>5 to 10,0.0,2.0,0.0,4.0,0.0,0.0
8195,28907.0,CHIEF_INVESTIGATOR,1965.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
8195,148997.0,CHIEF_INVESTIGATOR,1940.0,Australia,,2523.0,25.0,,more than 15,4.0,3.0,0.0,2.0,0.0,0.0
8195,66192.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2523.0,25.0,Yes ,more than 15,0.0,0.0,2.0,27.0,12.0,8.0
8196.0,735967.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,,2713.0,25.0,Yes ,>=0 to 5,5.0,3.0,1.0,0.0,0.0,0.0
8196,79032.0,DELEGATED_RESEARCHER,1955.0,Australia,,2713.0,25.0,Yes ,more than 15,1.0,10.0,0.0,0.0,0.0,0.0
8197.0,22002.0,CHIEF_INVESTIGATOR,1975.0,Australia,,3268.0,31.0,Yes ,>5 to 10,1.0,0.0,0.0,8.0,9.0,5.0
8197,4877.0,PRINCIPAL_SUPERVISOR,1960.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
8197,8172.0,CHIEF_INVESTIGATOR,1930.0,Great Britain,,2498.0,25.0,,>=0 to 5,0.0,1.0,11.0,9.0,3.0,2.0
8199.0,720017.0,CHIEF_INVESTIGATOR,1960.0,,,2653.0,25.0,,>=0 to 5,4.0,7.0,0.0,0.0,0.0,0.0
8200.0,13817.0,CHIEF_INVESTIGATOR,1965.0,Australia,,3258.0,31.0,,>10 to 15,3.0,0.0,5.0,5.0,4.0,1.0
8201.0,67537.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2713.0,25.0,,more than 15,0.0,0.0,2.0,6.0,1.0,8.0
8201,399777.0,CHIEF_INVESTIGATOR,1950.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
8201,110437.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2653.0,25.0,Yes ,>=0 to 5,0.0,2.0,1.0,1.0,0.0,0.0
8201,120047.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2713.0,25.0,,>=0 to 5,1.0,1.0,0.0,3.0,1.0,1.0
8202.0,22077.0,CHIEF_INVESTIGATOR,1955.0,Western Europe,,3273.0,31.0,,Less than 0,1.0,1.0,12.0,3.0,3.0,1.0
8202,31972.0,CHIEF_INVESTIGATOR,1960.0,Australia,English,3273.0,31.0,,>=0 to 5,2.0,1.0,0.0,0.0,0.0,0.0
8203.0,964402.0,CHIEF_INVESTIGATOR,1965.0,,,2813.0,25.0,,>=0 to 5,0.0,2.0,0.0,0.0,2.0,0.0
8204.0,78922.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2578.0,25.0,,>=0 to 5,2.0,2.0,0.0,15.0,6.0,1.0
8204,140417.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2668.0,25.0,Yes ,Less than 0,0.0,3.0,0.0,0.0,0.0,0.0
8205.0,47517.0,CHIEF_INVESTIGATOR,1970.0,Australia,English,2533.0,25.0,,,1.0,1.0,3.0,17.0,9.0,9.0
8205,110472.0,CHIEF_INVESTIGATOR,1965.0,Australia,English,2973.0,25.0,,>=0 to 5,0.0,3.0,0.0,0.0,0.0,0.0
8205,36252.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2973.0,25.0,Yes ,>5 to 10,3.0,24.0,4.0,38.0,15.0,42.0
8206.0,720017.0,CHIEF_INVESTIGATOR,1960.0,,,2653.0,25.0,,>=0 to 5,4.0,7.0,0.0,0.0,0.0,0.0
8207.0,46062.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2628.0,25.0,Yes ,>5 to 10,0.0,0.0,0.0,5.0,0.0,0.0
8207,78612.0,PRINCIPAL_SUPERVISOR,1945.0,South Africa,,2628.0,25.0,Yes ,>5 to 10,2.0,0.0,0.0,0.0,0.0,0.0
8207,23997.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2628.0,25.0,,>=0 to 5,6.0,1.0,22.0,14.0,6.0,0.0
8208.0,698007.0,CHIEF_INVESTIGATOR,1940.0,,,2523.0,25.0,Yes ,>=0 to 5,1.0,1.0,2.0,4.0,0.0,8.0
8209.0,53507.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2813.0,25.0,Yes ,>=0 to 5,2.0,2.0,3.0,0.0,1.0,1.0
8210.0,65967.0,CHIEF_INVESTIGATOR,1955.0,Asia Pacific,,2893.0,25.0,,Less than 0,1.0,2.0,0.0,25.0,6.0,0.0
8210,4832.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2893.0,25.0,,Less than 0,0.0,0.0,0.0,0.0,0.0,0.0
8211.0,69032.0,DELEGATED_RESEARCHER,1965.0,Australia,English,2538.0,25.0,Yes ,>5 to 10,6.0,9.0,6.0,8.0,6.0,2.0
8211,15467.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2668.0,25.0,,>5 to 10,2.0,1.0,0.0,0.0,0.0,0.0
8211,493767.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2538.0,25.0,Yes ,>=0 to 5,1.0,3.0,3.0,3.0,3.0,1.0
8212.0,107862.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2713.0,25.0,,>=0 to 5,4.0,8.0,1.0,1.0,5.0,0.0
8213.0,734322.0,CHIEF_INVESTIGATOR,1965.0,,,2603.0,25.0,,>=0 to 5,2.0,9.0,0.0,0.0,0.0,0.0
8213,887717.0,CHIEF_INVESTIGATOR,1960.0,,,2653.0,25.0,,>=0 to 5,2.0,3.0,0.0,0.0,0.0,0.0
8214.0,32437.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2653.0,25.0,,>=0 to 5,1.0,1.0,2.0,0.0,0.0,0.0
8215.0,3182.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2523.0,25.0,Yes ,>10 to 15,4.0,2.0,2.0,7.0,27.0,34.0
8215,720822.0,CHIEF_INVESTIGATOR,1970.0,New Zealand,,2533.0,25.0,Yes ,>=0 to 5,0.0,3.0,0.0,0.0,0.0,0.0
8215,135662.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2533.0,25.0,,Less than 0,0.0,2.0,0.0,0.0,0.0,3.0
8216.0,44252.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2813.0,25.0,Yes ,>5 to 10,5.0,4.0,5.0,4.0,2.0,0.0
8217.0,87147.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2548.0,25.0,Yes ,>5 to 10,1.0,2.0,5.0,4.0,7.0,1.0
8218.0,74832.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2768.0,25.0,,>5 to 10,0.0,6.0,0.0,2.0,5.0,3.0
8218,7482.0,CHIEF_INVESTIGATOR,1940.0,Australia,,2768.0,25.0,,>10 to 15,0.0,2.0,0.0,0.0,0.0,0.0
8219.0,67502.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2828.0,25.0,,>5 to 10,1.0,1.0,2.0,8.0,7.0,6.0
8220.0,67842.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2653.0,25.0,Yes ,>5 to 10,4.0,16.0,14.0,49.0,19.0,5.0
8220,9342.0,CHIEF_INVESTIGATOR,1950.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
8220,17342.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2828.0,25.0,Yes ,>5 to 10,3.0,25.0,13.0,30.0,26.0,8.0
8221.0,2232.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2653.0,25.0,,Less than 0,0.0,5.0,0.0,0.0,2.0,0.0
8223.0,9732.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3048.0,31.0,Yes ,>10 to 15,4.0,1.0,42.0,10.0,8.0,2.0
8224.0,23437.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2713.0,25.0,,,2.0,3.0,2.0,0.0,2.0,0.0
