"Grant.Application.ID"	"RFCD.Code"	"RFCD.Percentage"	"SEO.Code"	"SEO.Percentage"	"Person.ID"	"Role"	"Year.of.Birth"	"Country.of.Birth"	"Home.Language"	"Dept.No."	"Faculty.No."	"With.PHD"	"No..of.Years.in.Uni.at.Time.of.Grant"	"Number.of.Successful.Grant"	"Number.of.Unsuccessful.Grant"	"A."	"A"	"B"	"C"
8331	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8333	NA	NA	"SEO730106"	20	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8341	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8344	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8345	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8346	NA	NA	NA	NA	2712	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2563"	"Faculty25"	"Yes "	"Duration10to15"	3	11	23	46	39	24
8351	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8352	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8355	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8357	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8362	NA	NA	NA	NA	79192	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"DurationGT15"	8	15	60	95	38	10
8363	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8367	NA	NA	"SEO730107"	20	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8368	NA	NA	"SEO730306"	10	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8369	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8370	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8375	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8381	NA	NA	"SEO730108"	10	68512	"CHIEF_INVESTIGATOR"	"1945"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	1	0
8382	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8385	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8386	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8387	NA	NA	NA	NA	9217	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2533"	"Faculty25"	"Yes "	"DurationGT15"	0	0	4	6	19	19
8394	NA	NA	NA	NA	367942	"PRINCIPAL_SUPERVISOR"	"1980"	"Australia"	NA	"Dept2533"	"Faculty25"	"Yes "	"Duration0to5"	2	4	0	1	5	0
8396	NA	NA	"SEO670403"	15	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8402	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8407	NA	NA	NA	NA	36252	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2973"	"Faculty25"	"Yes "	"Duration5to10"	3	24	4	38	15	42
8411	NA	NA	NA	NA	103872	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	NA	"Dept2933"	"Faculty25"	""	"Duration0to5"	0	0	2	2	5	7
8425	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8437	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8439	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8442	NA	NA	NA	NA	67847	"CHIEF_INVESTIGATOR"	"1955"	"GreatBritain"	NA	"Dept2768"	"Faculty25"	"Yes "	"DurationGT15"	1	1	1	42	25	13
8447	NA	NA	NA	NA	140282	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept528"	"Faculty7"	"Yes "	"Duration0to5"	1	1	9	18	28	1
8449	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8451	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8453	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8454	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8455	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8456	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8457	NA	NA	NA	NA	70832	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept3028"	"Faculty31"	"Yes "	"DurationGT15"	1	2	18	22	15	4
8458	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8460	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8461	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8462	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8463	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8468	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8469	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8471	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8475	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8478	NA	NA	NA	NA	8067	"CHIEF_INVESTIGATOR"	"1960"	"WesternEurope"	"OtherLang"	"Dept1998"	"Faculty19"	"Yes "	"Duration10to15"	0	3	9	15	7	5
8483	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8484	NA	NA	NA	NA	66077	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept1258"	"Faculty34"	"Yes "	"DurationGT15"	0	1	3	42	14	2
8493	NA	NA	NA	NA	68377	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2893"	"Faculty25"	"Yes "	"DurationGT15"	0	0	11	17	3	5
8498	NA	NA	NA	NA	28607	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2763"	"Faculty25"	"Yes "	"Duration5to10"	4	4	6	25	14	14
8518	NA	NA	NA	NA	9217	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2533"	"Faculty25"	"Yes "	"DurationGT15"	0	0	4	6	19	19
8560	NA	NA	NA	NA	493697	"CHIEF_INVESTIGATOR"	"1960"	"AsiaPacific"	NA	"Dept2178"	"Faculty19"	"Yes "	"Duration0to5"	4	2	18	24	4	4
8620	"RFCD300399"	20	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8621	"RFCD319999"	20	"SEO660504"	20	60517	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept1098"	"Faculty1"	"Yes "	"Duration5to10"	3	9	1	18	3	0
8624	NA	NA	NA	NA	79652	"CHIEF_INVESTIGATOR"	"1950"	"AsiaPacific"	NA	"Dept2498"	"Faculty25"	"Yes "	"DurationGT15"	1	4	2	3	9	7
8625	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8637	NA	NA	"SEO770606"	20	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8645	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8649	NA	NA	NA	NA	25217	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2563"	"Faculty25"	"Yes "	"Duration5to10"	3	5	16	14	7	2
8650	NA	NA	NA	NA	73757	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2923"	"Faculty25"	"Yes "	"Duration10to15"	3	5	6	6	18	8
8651	NA	NA	NA	NA	73757	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2923"	"Faculty25"	"Yes "	"Duration10to15"	3	5	6	6	18	8
8658	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8661	NA	NA	NA	NA	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
8670	NA	NA	NA	NA	4992	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2853"	"Faculty25"	"Yes "	"Duration10to15"	0	2	8	31	16	19
8673	NA	NA	NA	NA	74827	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	"English"	"Dept2768"	"Faculty25"	"Yes "	"Duration10to15"	0	3	24	46	22	6
8679	NA	NA	NA	NA	89127	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2533"	"Faculty25"	"Yes "	"Duration5to10"	0	1	0	8	10	10
3	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
15	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
33	"RFCD321204"	20	NA	NA	537	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration10to15"	2	0	9	9	13	2
39	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
43	NA	NA	NA	NA	78817	"CHIEF_INVESTIGATOR"	"1950"	"WesternEurope"	NA	NA	"Faculty25"	"Yes "	"DurationGT15"	2	0	4	8	6	2
68	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
81	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
82	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
103	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
105	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
115	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
187	NA	NA	NA	NA	65652	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	NA	"Faculty25"	""	"Duration10to15"	0	0	13	2	0	1
207	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
218	NA	NA	NA	NA	15287	"CHIEF_INVESTIGATOR"	"1970"	"NorthAmerica"	NA	NA	"Faculty25"	"Yes "	"Duration0to5"	1	1	1	7	4	0
220	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
287	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
293	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
304	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
311	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
348	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
351	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
389	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
391	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
403	NA	NA	NA	NA	63562	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	NA	"Faculty25"	""	"DurationLT0"	1	1	0	2	5	2
406	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
421	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
447	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
483	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
518	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
525	NA	NA	NA	NA	4992	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration5to10"	0	0	4	19	9	13
564	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
569	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
571	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
577	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
588	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
603	NA	NA	NA	NA	77832	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	NA	"Faculty79"	"Yes "	"Duration5to10"	0	0	6	4	2	2
619	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
626	NA	NA	NA	NA	82427	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	NA	"Faculty7"	""	"DurationGT15"	0	0	0	0	0	0
633	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
724	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
748	NA	NA	NA	NA	33152	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	NA	"Faculty25"	""	"DurationLT0"	0	0	2	6	3	5
781	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
825	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
829	NA	NA	NA	NA	41657	"CHIEF_INVESTIGATOR"	"1965"	"AsiaPacific"	NA	NA	"Faculty19"	""	"DurationLT0"	0	0	0	2	1	1
866	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
874	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
890	NA	NA	NA	NA	23997	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	NA	"Faculty25"	""	"DurationLT0"	1	0	13	8	3	0
898	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
900	NA	NA	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
925	NA	NA	NA	NA	9672	"PRINCIPAL_SUPERVISOR"	"1950"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	1
947	NA	NA	NA	NA	6562	"CHIEF_INVESTIGATOR"	"1955"	"SouthAfrica"	"English"	NA	"Faculty19"	""	"DurationLT0"	0	0	26	7	11	4
980	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1015	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1045	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1050	NA	NA	NA	NA	76297	"PRINCIPAL_SUPERVISOR"	"1960"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration5to10"	0	0	18	16	7	1
1052	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1229	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1285	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1302	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1328	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1340	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1368	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1373	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1386	NA	NA	NA	NA	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1389	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1399	NA	NA	NA	NA	76297	"PRINCIPAL_SUPERVISOR"	"1960"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration10to15"	0	0	20	22	11	2
1425	NA	NA	NA	NA	4992	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration10to15"	0	0	5	27	9	16
1431	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1447	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1449	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1510	NA	NA	NA	NA	9107	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration5to10"	0	0	2	5	12	3
1518	NA	NA	NA	NA	73757	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration5to10"	0	0	3	5	9	3
1539	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1623	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1626	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1627	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1631	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1633	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1634	NA	NA	NA	NA	23997	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	NA	"Faculty25"	""	"DurationLT0"	2	0	17	10	5	0
1644	NA	NA	NA	NA	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1652	NA	NA	NA	NA	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1661	NA	NA	NA	NA	64357	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration5to10"	0	0	3	7	13	5
1664	NA	NA	NA	NA	82482	"CHIEF_INVESTIGATOR"	"1955"	NA	NA	NA	NA	""	"DurationUnk"	0	0	1	2	1	2
1671	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1678	NA	NA	NA	NA	55437	"CHIEF_INVESTIGATOR"	"1940"	"GreatBritain"	NA	NA	"Faculty25"	"Yes "	"DurationLT0"	0	6	4	1	3	1
1691	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1741	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1814	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1834	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1885	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1890	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
